code,name,new_price,pre_close,change_rate,high,low,volume,amount,turnover,industry,area,macd_golden,kdj_golden,break_ma5,break_ma10,break_ma20,upper_volume,down_volume,upside_volume,reversing_hammer,win_3d,win_5d,win_10d,change_3d,change_5d,change_10d,technical_score,signals,trend
600876,凯盛新能,10.93,11.06,-1.18,11.04,10.81,11273,12346958,0.28,玻璃,河南省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.0,0.74,0.46,10,['均线突破(突破5日线)'],弱势
600879,航天电子,27.02,25.8,4.73,27.1,26.01,1096054,2912048247,3.32,航空航天装备,湖北省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',5.67,12.77,5.46,20,[],强势
600880,博瑞传播,5.5,5.74,-4.18,5.65,5.47,156756,86979711,1.43,教育,四川省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.84,-6.3,-6.94,0,[],弱势
600882,妙可蓝多,22.02,22.27,-1.12,22.1,21.89,12579,27649304,0.25,食品,上海,1,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.81,-0.99,-4.43,35,"['MACD金叉', '均线突破(突破5日线)']",弱势
600883,博闻科技,8.7,8.84,-1.58,8.8,8.69,14862,12995319,0.63,农业,云南省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.14,-2.14,-1.81,0,[],弱势
600884,杉杉股份,15.08,15.09,-0.07,15.25,14.86,326424,491389957,1.78,光电子器件,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.33,9.04,4.94,0,[],弱势
600885,宏发股份,31.6,31.2,1.28,31.84,30.5,74763,234249567,0.48,输变电设备,湖北省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.7,4.29,8.4,10,[],温和
600886,国投电力,13.3,13.25,0.38,13.33,13.1,94072,124092181,0.13,电力,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.54,4.07,1.76,10,[],温和
600887,伊利股份,26.02,26.08,-0.23,26.14,25.92,88843,230883190,0.14,食品,内蒙古自治区,0,0,0,0,0,0,1,0,0,b'\x00',b'\x00',b'\x00',-1.06,-1.74,-3.91,0,[],弱势
600888,新疆众和,9.38,9.4,-0.21,9.44,9.21,118414,110354142,0.83,基本金属,新疆维吾尔自治区,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.51,9.07,8.94,10,[],温和
600889,南京化纤,17.37,17.93,-3.12,17.64,17.22,32063,55872805,0.88,合成纤维及树脂,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-4.4,4.01,5.59,0,[],弱势
600893,航发动力,59.08,57.14,3.4,59.19,56.99,229411,1346760293,0.86,航空航天装备,陕西省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.02,3.34,21.84,10,[],温和
600894,广日股份,9.63,9.73,-1.03,9.67,9.54,17920,17187829,0.21,专用设备,广东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.41,1.69,0.31,0,[],弱势
600895,张江高科,40.32,41.3,-2.37,40.66,40.21,85695,346339876,0.55,房地产开发,上海,1,0,0,0,0,1,0,0,0,b'\x00',b'\x00',b'\x00',-1.44,-0.02,0.17,40,"['MACD金叉', '放量上涨']",弱势
600900,长江电力,26.48,26.04,1.69,26.58,26.12,490698,1291085081,0.2,电力,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.96,1.85,0.65,10,[],温和
600901,江苏金租,6.49,6.44,0.78,6.5,6.38,47116,30324280,0.08,非银行金融,江苏省,0,0,1,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.85,2.2,0.46,35,['均线突破(突破5日线/突破10日线)'],温和
600905,三峡能源,4.21,4.16,1.2,4.22,4.13,780761,325845925,0.27,电力,北京,0,0,0,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',2.43,3.19,2.68,30,['均线突破(突破20日线)'],温和
600908,无锡银行,5.91,5.87,0.68,5.92,5.84,51644,30344455,0.26,银行,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.51,0.0,-1.17,10,[],温和
600909,华安证券,6.37,6.4,-0.47,6.38,6.34,167177,106320257,0.35,非银行金融,安徽省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.7,-0.16,-3.63,0,[],弱势
600916,中国黄金,11.9,11.35,4.85,12.33,11.6,744520,895168692,4.43,珠宝首饰,北京,0,0,1,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.67,10.29,4.2,35,['均线突破(突破5日线/突破10日线)'],温和
600917,重庆燃气,5.81,5.74,1.22,5.86,5.76,70915,41220526,0.45,燃气,重庆,0,0,0,1,1,0,0,0,0,b'\x00',b'\x00',b'\x00',2.29,4.31,1.57,45,['均线突破(突破10日线/突破20日线)'],温和
600918,中泰证券,6.37,6.41,-0.62,6.38,6.34,61076,38853113,0.16,非银行金融,山东省,0,0,1,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.62,0.79,-0.47,25,['均线突破(突破5日线/突破10日线)'],弱势
600919,江苏银行,10.37,10.35,0.19,10.4,10.28,145803,150715169,0.08,银行,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.07,-0.19,-0.38,10,[],温和
600925,苏能股份,4.8,4.77,0.63,4.82,4.78,84368,40536525,0.53,煤炭,江苏省,1,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.69,3.23,2.35,35,['MACD金叉'],温和
600926,杭州银行,16.3,16.25,0.31,16.38,16.1,61563,100067140,0.08,银行,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.68,0.43,-0.97,10,[],温和
600927,永安期货,15.27,15.62,-2.24,15.46,15.19,30542,46676767,0.21,非银行金融,浙江省,0,0,1,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.2,-0.52,0.39,35,['均线突破(突破5日线/突破10日线)'],温和
600928,西安银行,3.74,3.75,-0.27,3.76,3.71,55326,20657534,0.13,银行,陕西省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.0,0.0,-3.61,10,['均线突破(突破5日线)'],弱势
600929,雪天盐业,6.54,6.56,-0.3,6.65,6.48,74898,49057039,0.46,化学原料,湖南省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.51,7.74,7.21,10,[],温和
600930,华电新能,6.03,6.02,0.17,6.04,5.95,330761,198034551,1.02,电力,福建省,0,0,0,0,1,0,0,0,0,b'\x00',b'\x00',b'\x00',1.34,2.38,1.86,30,['均线突破(突破20日线)'],温和
600933,爱柯迪,18.27,18.44,-0.92,18.34,18.0,38700,70209122,0.4,汽车,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.19,-1.08,-4.6,0,[],弱势
600935,华塑股份,2.93,2.91,0.69,2.93,2.86,114579,33120234,0.33,化学原料,安徽省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.69,8.12,5.4,10,[],温和
600936,北投科技,4.16,4.27,-2.58,4.23,4.15,94014,39485870,0.56,计算机软件,广西壮族自治区,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.93,-4.15,-3.7,0,[],弱势
600938,中国海油,38.79,35.87,8.14,39.46,37.9,901278,3520532631,3.01,石油天然气,,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',6.6,12.79,13.09,40,['均线突破(突破5日线)'],极强
600939,重庆建工,3.28,3.3,-0.61,3.29,3.23,41942,13633626,0.22,建筑施工,重庆,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.61,0.92,3.47,0,[],弱势
600955,维远股份,20.32,20.57,-1.22,20.43,20.01,13326,27006692,0.24,化学原料,山东省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.73,3.62,4.63,10,['均线突破(突破5日线)'],弱势
600958,东方证券,10.01,10.11,-0.99,10.04,9.98,166601,166763036,0.22,非银行金融,上海,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.67,-1.67,-3.29,0,[],弱势
600959,江苏有线,4.1,4.18,-1.91,4.13,4.05,256711,105109216,0.51,广播电视,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.53,-2.38,-3.53,0,[],弱势
600960,渤海汽车,5.95,6.2,-4.03,6.09,5.87,170057,101245031,1.79,汽车,山东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.67,1.71,15.53,0,[],弱势
600961,株冶集团,24.66,23.85,3.4,24.97,23.51,201243,489141644,2.68,基本金属,湖南省,1,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',11.48,21.96,22.93,55,['MACD金叉'],极强
600962,国投中鲁,21.63,21.92,-1.32,21.82,21.41,13197,28488029,0.5,饮料,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.46,-0.87,-4.5,0,[],弱势
600963,岳阳林纸,6.65,6.06,9.74,6.67,5.97,473577,304575255,2.69,造纸印刷,湖南省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',8.31,13.1,12.9,40,['均线突破(突破5日线)'],极强
600965,福成股份,6.08,6.1,-0.33,6.11,5.97,41234,24954235,0.5,食品,河北省,0,0,0,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.5,5.37,-2.25,25,['均线突破(突破10日线)'],温和
600966,博汇纸业,8.19,8.19,0.0,8.22,7.92,81248,65471111,0.61,造纸印刷,山东省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.38,-2.73,9.2,0,[],弱势
600967,内蒙一机,18.13,17.35,4.5,18.18,17.88,303908,548781696,1.79,地面装备,内蒙古自治区,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',4.5,7.72,8.69,20,[],强势
600968,海油发展,4.92,4.58,7.42,5.03,4.81,1360708,671426606,1.34,石油天然气,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',6.03,13.89,14.42,30,[],极强
600970,中材国际,11.15,11.08,0.63,11.17,10.82,50441,55499367,0.19,建筑施工,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.83,5.09,4.11,10,[],温和
600971,恒源煤电,7.68,7.29,5.35,7.75,7.36,209457,157934111,1.75,煤炭,安徽省,0,0,1,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',7.87,8.47,12.12,40,['均线突破(突破5日线)'],极强
600975,新五丰,5.7,5.71,-0.18,5.73,5.64,50208,28521830,0.4,畜牧业,湖南省,1,0,1,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.18,0.88,-0.52,60,"['MACD金叉', '均线突破(突破5日线/突破10日线)']",温和
600976,健民集团,32.58,32.85,-0.82,32.76,32.47,3940,12839807,0.26,中药生产,湖北省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.96,-1.66,-5.57,0,[],弱势
600977,中国电影,14.38,14.86,-3.23,14.56,14.21,240432,345203553,1.29,影视动漫,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-6.14,-22.48,-21.81,0,[],弱势
600979,广安爱众,5.11,5.13,-0.39,5.13,5.0,391584,197760763,3.18,电力,四川省,0,0,0,0,0,1,0,0,0,b'\x00',b'\x00',b'\x00',11.82,15.09,10.85,35,['放量上涨'],强势
600980,北矿科技,26.48,27.0,-1.93,26.86,26.25,29082,77075667,1.55,专用设备,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.82,4.42,12.3,0,[],弱势
600981,苏豪汇鸿,3.33,3.44,-3.2,3.39,3.3,123985,41442346,0.55,贸易,江苏省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-3.76,1.52,-3.2,0,[],弱势
600982,宁波能源,5.03,5.01,0.4,5.05,4.94,98949,49393848,0.89,电力,浙江省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',4.79,9.35,7.25,20,[],强势
